name,patent_count,country
Shunpei Yamazaki,1873,Japan
Kia Silverbrook,1524,Australia
Lowell L. Wood Jr.,1102,United States
Roderic A. Hyde,987,United States
Paul Lapstun,891,Australia
Gurtej Singh Sandhu,756,United States
Jun Koyama,723,Japan
Leonard Forbes,698,United States
Donald E. Weder,654,United States
Kangguo Cheng,612,United States
Mark E. Davis,589,United States
John M. C. Gowan,567,United Kingdom
Toshihiko Takeda,543,Japan
Michael D. Johnson,521,United States
Robert S. Langer,498,United States
