country,inventor_name,rank,patent_count
United States,Lowell L. Wood Jr.,1,1102
United States,Roderic A. Hyde,2,987
United States,Gurtej Singh Sandhu,3,756
United States,Leonard Forbes,4,698
United States,Donald E. Weder,5,654
Japan,Shunpei Yamazaki,1,1873
Japan,Jun Koyama,2,723
Japan,Toshihiko Takeda,3,543
Japan,Kenji Tanaka,4,456
Japan,Yoshiaki Nakamura,5,398
Australia,Kia Silverbrook,1,1524
Australia,Paul Lapstun,2,891
Australia,Peter Johnson,3,234
Australia,David Williams,4,198
Australia,Sarah Chen,5,167
