name,patent_count
"SAMSUNG ELECTRONICS CO., LTD.",110315
International Business Machines Corporation,104905
Canon Kabushiki Kaisha,57747
SONY GROUP CORPORATION,39939
FUJITSU LIMITED,35954
Kabushiki Kaisha Toshiba,34086
Intel Corporation,33759
General Electric Company,33220
LG ELECTRONICS INC.,31665
"HITACHI, LTD.",29899
Mitsubishi Electric Corporation,28681
QUALCOMM Incorporated,25938
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LTD.,25767
TOYOTA JIDOSHA KABUSHIKI KAISHA,24771
Apple Inc.,24598
"Sumitomo Electric Industries, Ltd.",24490
"Micron Technology, Inc.",24187
NEC CORPORATION,22684
SEIKO EPSON CORPORATION,21374
"HONDA MOTOR CO., LTD.",20452
